Name,Therapeutic Class,Description,Dosage,Side Effects
Paracetamol,Analgesic,"Pain relief and fever reduction","500mg","Nausea, liver damage"
Aspirin,Analgesic,"Pain relief, blood thinner","325mg","Stomach irritation, bleeding"
Ibuprofen,Analgesic,"Pain relief, anti-inflammatory","400mg","Stomach upset, kidney issues"
Amoxicillin,Antibiotic,"Bacterial infections","500mg","Nausea, diarrhea, allergic reactions"
Lisinopril,Antihypertensive,"Blood pressure control","10mg","Dry cough, dizziness"
Metformin,Antidiabetic,"Type 2 diabetes","500mg","Gastrointestinal issues, lactic acidosis"
Atorvastatin,Lipid lowering,"High cholesterol","20mg","Muscle pain, liver enzyme changes"
Omeprazole,Anti-ulcer,"Acid reflux","20mg","Headache, diarrhea, vitamin B12 deficiency"
Simvastatin,Lipid lowering,"High cholesterol","40mg","Muscle pain, liver issues"
Sertraline,Antidepressant,"Depression, anxiety","50mg","Nausea, insomnia, sexual dysfunction"
Metoprolol,Beta blocker,"Blood pressure, heart conditions","50mg","Fatigue, dizziness, cold extremities"
Albuterol,Bronchodilator,"Asthma, COPD","90mcg","Tremor, tachycardia, nervousness"
Levothyroxine,Thyroid hormone,"Hypothyroidism","50mcg","Palpitations, weight loss, anxiety"
Hydrochlorothiazide,Diuretic,"Blood pressure, fluid retention","25mg","Dizziness, electrolyte imbalance"
Gabapentin,Anticonvulsant,"Nerve pain, seizures","300mg","Drowsiness, dizziness, weight gain"
Warfarin,Anticoagulant,"Blood thinner","5mg","Bleeding, bruising, drug interactions"
Furosemide,Diuretic,"Fluid retention, hypertension","40mg","Dehydration, electrolyte loss"
Prednisone,Corticosteroid,"Inflammation, autoimmune","5mg","Weight gain, mood changes, osteoporosis"
Insulin,Antidiabetic,"Diabetes","Various","Hypoglycemia, weight gain, injection site reactions"
Citalopram,Antidepressant,"Depression","20mg","Nausea, drowsiness, sexual dysfunction"
Losartan,Antihypertensive,"Blood pressure","50mg","Dizziness, hyperkalemia, angioedema"
